unstructured_name,rx_norm,type
Suspension Antacid 10mls tds x10days,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
TAB OMEPRAZOLE 20 MG BD 1/52: SUSP GESTID 10 MLS TDS 1/52,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
Susp Gestid 5mls tds x 3/7,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
gestid tablets stat,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
suspension gascol 20mls prn.,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
Susp. Gascol 10mls tds x 1/12,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
susp. gascol 10mls bd x 3/7,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
syrup gascol 7.5mls tds for 1 week,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
syrup gascol 10ml tds x 1/52,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
syrup gascol 10mls b.d x 5days,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
SYR ANTACID 10MLS BD X 5/7,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
susp gascol 5mls tds x 2/52,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
Cap Omeprazole 20mg bd x 2/52  Tab Buscopan 20mg bd x 2/7  CT Susp Gestid 10mls tds x 5/7,aluminum hydroxide / magnesium hydroxide / simethicone,Drug
syr m/v 5mls daily for 2 weeks,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
SYR M/VITE 7 MLS DLY 1/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
syr  ranferon 2.5ml bd x1/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
CAPS DARAVITE FORTE I DLY X 30/7,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
"im artemether 80mg dly x 3/7, im diclofenac 50mg stat, syrup pcm 5mls tds x 3/7, syrup multvit 5mls bd, tab act 20/120mg (II) bd x 3/7",ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
Syr Abidec 2.5mls tds x 2/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
"syrup multivite 5mls tds, blood tonic",ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
SUSP ABIDEC 2.5 MLS BD,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
DARAVITE FORTE I DLY X1/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
SYRUP RANFERON 3.5MLS TDS X 1/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
PREGNANT CARE,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
syr ranferon 2.5mls bd x 1/12,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
tab multivite 1 daily x 5/7,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
syrup multivitamin 10ml bd X 1/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
ferolab,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
syrup multivit 15ml bd X1/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
Cap Ferrobin 1 dly x 2/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
tabs daravite forte i dly x 5/7,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
CONT MULTIVITAMIN,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
ferrobin,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
Tab Multivitamin 1 tab OD x 1/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
syrup Abidec 0.3ml bd x 3/12,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
tabs multivite 11 tds for  2weeks,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
syrup m/vite 5ml tds,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
Syrup Mutivite 2.5mls be - 2/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
SYRUP M/VIT 2.5MLS TDS X 7DAYS.,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
syp mvite 7.5mls tds x 1/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
tab multivites 1 tds x 1/52,ascorbic acid / ferrous fumarate / folic acid / vitamin b12,Drug
FULL STRENGHT DARROWS SOLUTION,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
IVF 1/2 strength darrows alt with 4.3 dextrose saline  500mls 12hrly,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
ivf ringers lactate 1l fast thereafter alternate with 5%d/saline 500mls 4hrly,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
1 litre of ringers lactate,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
IVF 1/2 STRENGTH DARROWS 500MLS STAT THEN 4.3% D/S 600MLS 8HRLY.,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
ivf 4.3%D/S  alternate with half strenght darrows 500mls 8hrly,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
Discontinue normal saline and commence IV RINGERS LACTATE 500MLD 6HRLY,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
ivf ringer's lactate or n/s 1l 8hrly x 24hrs,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
IVF Ringer's lactate alt 4.3% D/S 550mls 12hrly,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
IV Fluid Ringers Lactate to alternate with 4.3% D/Saline 500mls 8hourly,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
IVF FULL STRENGTH DARROWS 1L 8HRLY X 24HRS,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
ivf ringers lactate // 4.3% d/saline 1L 12hrly,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
IVF 4.3% D/S ALT RINGERS LACTATE 1L 8HRLY,calcium chloride / potassium chloride / sodium chloride / sodium lactate,Drug
"syrup flagyl 5mls bd * 5/7, syrup cofex 5mls bd * 5/7",chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
syrup cough 5mls bd x 5/8,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
cofex 7.5mls tds x 5/7;,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
"syrup cefuroxime 2.5mls bd x 5/7, syrup cofex 2.5mls tds x 5/7",chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
"sus emzolyn expectorant 10ml tds x 5/7, sus amoxyl 250mg bd x 5/7",chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
syrup coflin 5mls bd x 5/7;,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
cofex syrup 10mls tds x 5days,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
syrup cofex 5mls tds for 1week,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
Cough syr 2.5mls tds x 5/7 .,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
"tab act 20/120 2 b.d *3/7, tab pcm 500mg tds *3/7, cough syrup 7mls tds *5/7",chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
syr cofex 2mls bd for 1/52,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
COFEX SYRUP 5 MLS TDS 5/7: SYR AMOXYL 5 MLS TDS 5/7: SYR VIT C 5 MLS TDS 5/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
SYR.BENYLIN,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
SYR COFEX 7.5MLS TDS FOR 5/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
"cough syrup 10mls tds x 5/7, tab loratadine 10mg bd x 5/7",chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
Cough syr 10ml tds x 5/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
"SYRUP cefuroxime 7mls bd * 1/52, syrup cofex 5mls tds * 5/7",chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
cough sysrup 7.5mls tds x7days,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
SYRUP COFMIX 1OMLS BDX3/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
syr exiplon 5mls tds x3/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
cofex 5ml tds x5/7;,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
cough syrup 10mls bd x 5/7  tabs loratadine 10mg bd x 5/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
Cap Amoxil 500mg tds x 1/52 Syr Cofex 10mls tds x 5/7 Tab PCM 1g tds x 3/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
syrup cough 6mls tds x 5/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
cough syrup 5ml bd*5/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
cough syrup 10m mls tds 5/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
cough syrup 5mls bd x 5/7 + syrup ibuprofen 5mls bd x 5/7 + syrup cefuroxime 5mls bd x 10/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
Syr Cofex 5ml b.d x 5/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
cadifin cough syrup,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
"susp cefuroxime 5mls b.d x5/7,syr vit c 5mls tdsx5/7,syr piriton 2.5mls b.d x5/7,syr emzoyln 5mls b.d x5/7,syr ibuprofen 5mls b.d x5/7,tab lonart 120/20mg b.d x3/7",chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
tab loratadine 5mg bd x 5/7 + cough syrup 5mls bd x 5/7 + tab lozenges I tds x 5/7 + tab act 20/120mg III bd x 3/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
SYRUPCOFMIX10MLSBDX5/7,chlorpheniramine maleate / dextromethorphan hydrobromide / pseudoephedrine hydrochloride,Drug
"DISPOSABLE GLOVES X 3 PAIRS, DRIP GIVING SET X 1, CANULAR PINK HEAD X 1, SYRINGES 5ML X 2",consumables,Consumable
2mls syringe  OTH101,consumables,Consumable
"DRIP SET X 1, 10MLS SYRINGES AND 5 MLS X 4 EACH",consumables,Consumable
"IVF GIVING SET X 1, 5ML SYRINGE X 3, 10MLS SYRINGE X 3, LATEX  GLOOVES X 6 PAIRS",consumables,Consumable
6 inches Crepe bandage,consumables,Consumable
DISPOSABLE GLOVES X 3 PAIRS..,consumables,Consumable
"injection needles x 3 , 10mls syringes 5 , 5mls syringes x 5 , 2mls syringes x",consumables,Consumable
"10mls syringes x 6, 5 mls x 4, drip set x 1, pink canula x 1",consumables,Consumable
iucd,consumables,Consumable
"gloves x 10 pairs,drip set x 1,",consumables,Consumable
"10cc syringe x 5,gloves x 10 pairs.",consumables,Consumable
male condoms,consumables,Consumable
LATEX GLOVES X 5,consumables,Consumable
sterile gauze5 PACK,consumables,Consumable
"PINK CANULA X 1, DRIP SET X 1, 10MLS AND 5MLS SYRINGES X 2 EACH",consumables,Consumable
"drip set x 1, 5ml syringe x 3, disposable gloves x 6 pairs",consumables,Consumable
shoulder sling,consumables,Consumable
PINK CANULLA X 2,consumables,Consumable
"pink canula x 1, blue canula x 1, 5cc syringes x 3, 10cc syringes x 3, latex gloves x 6 pairs, drip set x 1",consumables,Consumable
"5ml syringe x 3, 21G INJ. needle x 3",consumables,Consumable
infusion giving set (IGS),consumables,Consumable
"2ml syringes x 3, extra paediatric needle x 2",consumables,Consumable
USE TETMOSOL SOAP FOR BATHS..,consumables,Consumable
SUTURE WOUND  WITH NYLON 2,consumables,Consumable
infusion giving set,consumables,Consumable
LATEX GLOVES X 5 PAIRS,consumables,Consumable
"pink canula x 1, 10mls syringes x 6",consumables,Consumable
"yellow canula x1 , drip set x 1, 2mls syringes x 6, 5mls x2",consumables,Consumable
"water for injection x 2, 10ml syringes x3, 5ml syringes x 3",consumables,Consumable
CREPE BANDAGE OVER THE HAND AND WRIST,consumables,Consumable
"latex gloves x 6 pairs, infusion set x 1",consumables,Consumable
"Clean eyes with cotton wool and saline( wipe in one dirction, discard and repeat)",consumables,Consumable
10ml syringe x 4,consumables,Consumable
Lancet,consumables,Consumable
"iv cannula pink x 1, drip giving set x1",consumables,Consumable
elbow length gloves x 2 pairs,consumables,Consumable
2MLS SYRINGE,consumables,Consumable
"yellow canula x 2, 5mls syringe x 5, 2mls syringe x 5, latex gloves x 10pairs, drip giving set",consumables,Consumable
Microfile needle OTH401,consumables,Consumable
apply crepe bandage to immobilize left ankle,consumables,Consumable
"5ml syringe x 4,10ml syringe x 4,drip set x 1,gloves x 5pairs.",consumables,Consumable
"canula blue x 1, syringes 10mls x 3, 5mls syringe x 3/7",consumables,Consumable
"blue canular x1, 5mls syringe x5, 10mls syringe x 2",consumables,Consumable
"DRIP GIVING SET X 1, DISPOSABLE GLOVES X 8PAIRS, SYRINGES 5MLS X 5, 2MLS X 2",consumables,Consumable
"DRIP GIVING SET X 1, SYRINGES 5MLS X 2, DISPOSABLE GLOVES X 6",consumables,Consumable
arm sling.,consumables,Consumable
Accuchek,consumables,Consumable
UROBAG,consumables,Consumable
"5ML SYRINGE X 4, DISPOSABLE GLOVES X 10 PAIRS, DRIP SET",consumables,Consumable
"elbow length gloves x 3 pairs, disposable gloves 1 pack, urethreal catheter x size 16 x 1, urine bag x 1",consumables,Consumable
Nasal packing with gauze soaked in epinephrine,consumables,Consumable
"iv cannula  pink x 1, 10mls syringe x 5, iv giving set x1",consumables,Consumable
"CANULA PINK HEAD X 1, DRIP GIVING SET, SYRINGES 5MLS X 10",consumables,Consumable
"elbow length gloves x3, surgical gloves x3",consumables,Consumable
"iv cannular yellow x 2 , water for injection x 1, 10ml syringes x3, 5ml syringes x 6, 2ml syringes x 6",consumables,Consumable
"PINK CANNULA X 2, 10 PAIRS X LATEX GLOVES, 5ML SYRINGES X 5, URETHRAL CATHETER SIZE 16 WITH UROBAG, WATER FOR INJECTION X 4",consumables,Consumable
5ML INJECTION,consumables,Consumable
"pink canula x 1,  drip set x 1, 10mls syringes x 3,",consumables,Consumable
SPECTACLES,consumables,Consumable
FACEMAX,consumables,Consumable
"PINK CANNULA X 1, BLUE CANNULA X 1, DRIP SET X 1",consumables,Consumable
"LATEX GLOVES X 10, 2ML SYRINGE X 5, DRIP GIVING SET",consumables,Consumable
put gauze in the ear,consumables,Consumable
pressure stockings,consumables,Consumable
Pass NG Tube for gastric lavage with normal saline,consumables,Consumable
"blue canula x 2, drip giving set, 5mls syringes, x 5, 10mls syringes x 5, latex gloves x 5pars",consumables,Consumable
Sterile gauze x 1 Pack,consumables,Consumable
IVF 860mls/day= 430mls 12hrly via soluset at 18dpm,consumables,Consumable
APPLY KNEE BRACE FOR 3/12,consumables,Consumable
"5CC SYRINGE X 6, 2CC SYRINGE X 6",consumables,Consumable
75mls of ngtube feeding 4 hourly.,consumables,Consumable
tripod waking stick,consumables,Consumable
"10ml syrings x 5, 5ml syringes x 5, dripset x 1",consumables,Consumable
"DRIP CONNECTING SET X 1, SYRINGES 5MLS X 5, 10MLS X 5, DISPOSABLE GLOVES X 10PAIRS, CANULAR PINK HEAD X 1",consumables,Consumable
"drip set x 1,10cc syringe x 4,5cc syringe x 4,gloves x 10pairs",consumables,Consumable
"5mls syringe x 6, latex gloovesx 10pairs, yellow canulla x 2",consumables,Consumable
"PINK CANULAR PINK HEAD X 1, SYRINGES 5MLS X 4, DRIP GIVING SET X 1",consumables,Consumable
"drip set x 1, pink canula x 2, 10mls syringes x 6, 5mls x 4",consumables,Consumable
"canula yellow x 2, 5cc syringes x 5, 2cc syringes x 5, drip set x 1",consumables,Consumable
pink canula x 1. drip set x 1. 10mls syring x 2,consumables,Consumable
"IV CANULA X 2 PINK, 6 PAIRS OF GLOVES, DRIP SET X 1, WATER FOR INJECTION,5ML SYRINGES X 3, 10ML SYRINGES X 3",consumables,Consumable
"PINK CANNULA X 1, DRIP SET X 1, GLOVES",consumables,Consumable
"pink canula x 1, syringes x 10mls n 5mls 4 each,  drip set x 1",consumables,Consumable
oxygen face mask  with rebreather bag,consumables,Consumable
Aprovasc 300/10 mg,"irbesartan, amlodipine",Drug
tabs Ranferon,"ascorbic acid, ferrous fumarate, folic acid, vitamin b12",Drug
4.5 DEXTROSE SALINE,"glucose, sodium chloride",Drug
Tab. Tizanidine,tizanidine,Drug
IVFLUID 5%D/W,glucose,Drug
INJ IV PCM 600MG 8HRLY,acetaminophen,Drug
Tab Flagyl 400mg,metronidazole,Drug
paracetamol 1g stat,acetaminophen,Drug
Gtt Ciprofloxacin,ciprofloxacin,Drug
Ascorbic Acid syrup,ascorbic acid,Drug
IV LASIX 20MG,furosemide,Drug
ASPIRIN,aspirin,Drug
sidalud,tizanidine,Drug
dextrose water 5% 500mls + 50mls of 50% dextrose water + 5mls of bcomplex,vitamin B complex,Drug
Tab Ciprof-TN,ciprofloxacin,Drug
Metoprolol succinate 12.5mg,metoprolol,Drug
ANTITETANUS SERUM (ATS),"tetanus immune globulin, human",Drug
tabs PERILON,prednisolone,Drug
ampclox,penicillamine,Drug
tabs dolometa b,"diclofenac sodium, niacin, riboflavin, thiamine",Drug
tabs propranolol,propranolol,Drug
ivermectin 3mg,ivermectin,Drug
IVF 0.9% N/S 500mls Alternate with 5% D/S 500mls 8hrly,"glucose, sodium chloride",Drug
oral nitrofurantoin,nitrofurantoin,Drug
Trophamine,"arginine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, valine",Drug
I.V pentazocine,pentazocine,Drug
Tabs Fleming,"amoxicillin, clavulanate",Drug
carvedilol 12.5 MG Oral Tablet,carvedilol,Drug
GUTT METHYL CELLULOSE,methylcellulose,Drug
Augmentin 1G bd,"amoxicillin, clavulanate",Drug
hydrocortisone 25 MG/ML Topical Cream,hydrocortisone,Drug
SYRUP MULTIVITAMIN 5MLS,"ascorbic acid, cholecalciferol, niacin, riboflavin, thiamine, vitamin a, vitamin b12, vitamin b6, vitamin e",Drug
syrup mistmag,"aluminum hydroxide, magnesium trisilicate",Drug
Nif (Nifedipine),nifedipine,Drug
Syr ACT,"artemether, lumefantrine",Drug
Loratidine 10mg tablet,loratadine,Drug
SYRUP VITAMINE BCO,vitamin B complex,Drug
10% manitol,mannitol,Drug
mmt,"calcium carbonate, magnesium hydroxide",Drug
im buscopam,hyoscyamine,Drug
quinine sulfate 324 MG Oral Capsule,quinine sulfate,Drug
IV QUININE 20MG/KG(250MG) IN 250MLS OF 10% DEXTROSE WATER,quinine sulfate,Drug
IVF RINGERS LACTATE 500ML ALT D/SALINE 5OOML+BCO 3CC,"calcium chloride, glucose, potassium chloride, sodium chloride, sodium lactate",Drug
tab vit e,vitamin e,Drug
Tabs alprazolam,alprazolam,Drug
haemoforce forte,"ascorbic acid, biotin, ferrous fumarate, folic acid, mecobalamin, niacinamide, pantothenate, pyridoxine, riboflavin, thiamine",Drug
gingkobiloba,Ginkgo biloba leaf extract,Drug
nitrofurantoin 5 MG/ML Oral Suspension,nitrofurantoin,Drug
vitamic c,ascorbic acid,Drug
amoxicillin capsules 500mg,amoxicillin,Drug
hydrocortisone 10 MG Oral Tablet,hydrocortisone,Drug
Wellbaby Multi-vitamin (Vitamin/Mineral supplements),"ascorbic acid, biotin, calcium pantothenate, folic acid, niacin, pyridoxine, riboflavin, thiamine mononitrate, vitamin b12",Drug
Immunace,"ascorbic acid, beta carotene, copper sulfate, alpha tocopheryl acetate, lutein, sodium selenite, zinc oxide",Drug
ivf 5% D/Saline,"glucose,sodium chloride",Drug
sc insulin,insulin,Drug
ampclox,ampicillin,Drug
augmentinES,"amoxicillin, clavulanate",Drug
flaygl,metronidazole,Drug
oral.amiloride-hydrochlorothiazine(moduretic),"amiloride hydrochloride, hydrochlorothiazide",Drug
GLIMEPIRIDE,glimepiride,Drug
Canesten Vaginal Tabs,clotrimazole,Drug
Tab Metronidazole 400mg,metronidazole,Drug
ACT TABLET,"artemether, lumefantrine",Drug
arthemelux,"artemether, lumefantrine",Drug
tabs propranolol,propranolol hydrochloride,Drug
tabs neomycin,neomycin sulfate,Drug
mycoten pessaries,clotrimazole,Drug
IV FLUID 5%D/SALINE,"glucose,sodium chloride",Drug
IV Fluid 0.9% Normal Saline // 5% Dextrose Saline 500mls 6hrly,"glucose,sodium chloride",Drug
Benzoyl peroxide gel,benzoyl peroxide,Drug
metformin.,metformin hydrochloride,Drug
tab meconerve,"mecobalamin, vitamin b12",Drug
IVF 0.9% N/S 500mls Alternate with 5% D/S 500mls 8hrly,"glucose,sodium chloride",Drug
IV levofloxacin,levofloxacin,Drug
3. ct ivf normal saline 1L 8hrly,sodium chloride,Drug
Metoprolol succinate 12.5mg,metoprolol succinate,Drug
IM Tetanus toxoid 0.5ml stat,"tetanus immune globulin, human",Drug
Tab Bisoprolol,bisoprolol fumarate,Drug
0.9% saline in 5% Dextrose,"glucose,sodium chloride",Drug
Jawasil 200ml  SYR158,"calcium carbonate, magnesium hydroxide",Drug
SRUP GAVISCON,"aluminum hydroxide, magnesium hydroxide, simethicone",Drug
metronidazole oral 400mg,metronidazole,Drug
lamivudine 300 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet,"lamivudine, tenofovir disoproxil fumarate",Drug
nebulise with 2.5ml normal saline,sodium chloride,Drug
e-mal injection,Artemether,Drug
ORS/each vomiting episode,"glucose, sodium chloride",Drug
Vitamin C 100 mg,ascorbic acid,Drug
IV DIAZAPAM 10MG,diazepam,Drug
IV OXYTOCIN 20 I.U,oxytocin,Drug
Syr Asmalyn,albuterol,Drug
TABS CEPHALEXIN 500MG BD FOR 1WEEK,cephalexin,Drug
Syrup antacid,"calcium carbonate, magnesium hydroxide",Drug
DICLOFENAC GELL,diclofenac,Drug
Tabs Hydrex 25mg daily - 1/12,hydrochlorothiazide,Drug
Tabas Augmentin,"amoxicillin, clavulanate",Drug
Tab. Multivitamin,"ascorbic acid, ferrous fumarate, folic acid, vitamin b12",Drug
tabs ACT 4 bd for 3 days.,"artemether, lumefantrine",Drug
im pcm 300mg,acetaminophen,Drug
5% Destrose Water,glucose,Drug
Tab. Cefpodoxime (Orelox),cefpodoxime,Drug
TAB  slow K,potassium chloride,Drug
IV .F N/S,sodium chloride,Drug
IV GENTAMYCIN(50MG),gentamicin,Drug
TABS CIPPROFLOXACIN,ciprofloxacin,Drug
im arteether,Artemether,Drug
CHLOROQUINE,chloroquine phosphate,Drug
nifedipine SR 30mg,nifedipine,Drug
Menopace (Minerals/Multivitamins),"ascorbic acid, ferrous fumarate, folic acid, vitamin b12",Drug
Syrup Fluroxetil,cefuroxime,Drug
TABS VALSARTAN,valsartan,Drug
Tabs GalvusMet,metformin hydrochloride,Drug
BENZYLBENZOATE CREAM,aminobenzoic acid,Drug
IVF 5% D/WATER,glucose,Drug
TAB FOLIC ACID,folic acid,Drug
Daraforte,"calcium ascorbate, calcium threonate, ferrous asparto glycinate, ferrous fumarate, folic acid, succinic acid, vitamin b12",Drug
Nebulize with 5mg of salbutamol + 0.25mg of ipratropium,"actuat albuterol, actuat / ipratropium bromide, actuat inhalation spray",Drug
XELODA,capecitabine,Drug
Syrup Ascorex,albuterol,Drug
syr flemming 5c bd x1week,"amoxicillin, clavulanate",Drug
Coartem 80/480,"artemether, lumefantrine",Drug
salbutamol tab,albuterol,Drug
"I,M. PCM",acetaminophen,Drug
rush ivf mannitol 20% 500ml stat  followed by 20mg 0f frusemide,furosemide,Drug
Ergometrine Inj,methylergonovine,Drug
Injection diclofenac,diclofenac,Drug
NEBULIZATION WITH  X1 DOSE X STERILE WATER,water,Drug
ferrous tablets,ferrous sulfate,Drug
dextrose water 50% 100mls... maintain with dextrose water 5% 500mls,glucose,Drug
TABS ASTYMIN,"ascorbic acid, biotin, folic acid, niacinamide, pantothenic acid, pyridoxine hydrochloride, riboflavin, thiamine, vitamin b12",Drug
TTH Tab Vit C,ascorbic acid,Drug
"i,m tt","diphtheria toxoid vaccine, tetanus toxoid vaccine",Drug
Amatem Soft gel.,"artemether, lumefantrine",Drug
augmentin 375mg,"amoxicillin, clavulanate",Drug
Tab. Ciprofloxacin,ciprofloxacin,Drug
tab Hydrocodeine,hydrocodone,Drug
aceclofenac,aceclofenac,Drug
CAPS IBUPROFEN,ibuprofen,Drug
Tabs chymoral,chymotrypsin,Drug
IVF 5% D/W + 600MG QUININE +4ML BCO,quinine sulfate,Drug
cetirizine tabs,cetirizine,Drug
-Tabs ferrous sulphate 200mg t.d.s x2/52,ferrous sulfate,Drug
ATROPIN BD LE,atropine,Drug
tab cafegot,ergotamine tartrate,Drug
GTT ANTERLLERGE,tetrahydrozoline hydrochloride,Drug
Ca-Sandoz,calcium,Drug
IV Fluid 0.9% Normal Saline // 5% Dextrose Saline 500mls 6hrly,"glucose, sodium chloride",Drug
rectal paracetamol,acetaminophen,Drug
Astyfer supension,"ascorbic acid, cholecalciferol, niacin, riboflavin, thiamine, vitamin a, vitamin b12, vitamin b6, vitamin e",Drug
IVF Paediatric Saline,sodium chloride,Drug
Injection paracetamol,acetaminophen,Drug
Humulin 70/30 (Insulin isophane/Insulin regular),"insulin isophane, human",Drug
I.V PROMETHAZINE,promethazine,Drug
INJ QUININE 600MG,quinine sulfate,Drug
captopril 50 MG Oral Tablet,captopril,Drug
Tabs. Orphenadrine/Paracetamol,orphenadrine citrate,Drug
Tabs vitamin E,vitamin E,Drug
Rabeprazole 40mg,rabeprazole,Drug
ranitidine 300mg,ranitidine,Drug
arthermeter,artemether,Drug
torsemide 20 MG Oral Tablet,torsemide,Drug
antiallerge eyedrops,tetrahydrozoline hydrochloride,Drug
0.9% saline in 5% Dextrose,"glucose, sodium chloride",Drug
IV Dextrose water,glucose,Drug
Syrup Paracetamol 150mg tds - 3/7,acetaminophen,Drug
IVF 5% DEXTOSE SALINE,"glucose, sodium chloride",Drug
NEBULIZE WITH SALBUTAMOL,albuterol,Drug
TABS LOSARTAN,losartan,Drug
valsartan 320 MG Oral Tablet,valsartan,Drug
pentazoscine injection,pentazocine,Drug
TABS DULCOLAX,bisacodyl,Drug
i.v.Ceftaxidime,ceftazidime,Drug
iv dexamethazone 4mg 8hrly x 3days,dexamethasone,Drug
amlodipine 5mg.,amlodipine besylate,Drug
tegretol forte,carbamazepine,Drug
Nutrison energy multifibre,"ascorbic acid, cholecalciferol, niacin, riboflavin, thiamine, vitamin a, vitamin b12, vitamin b6, vitamin e",Drug
misoprostrol,misoprostol,Drug
ferrofibrate,fenofibrate,Drug
Varicella-1,varicella-zoster virus vaccine live (Oka-Merck) strain,Drug
Cetrizine 10mg TAB674,cetirizine,Drug
keyexelate,sodium polystyrene sulfonate,Drug
syrup rhinathiol - adult,carbocysteine,Drug
P.O Camosunate 1-6yrs,artesunate,Drug
